rna29947	Xetrov90000001m.g
rna24394	map3k2
rna24395	map3k2
rna49461	pecr
rna49462	pecr
rna7592	tmem169
rna7591	tmem169
rna7593	tmem169
rna15176	xrcc5
rna15175	xrcc5
rna58706	march4
rna63584	smarcal1
rna34544	Xetrov90028125m.g
rna38468	LOC108645216
rna46078	LOC101731684
rna50651	LOC100493190
rna48067	LOC108645444
rna39623	LOC100498399
rna39624	LOC100498399
rna39625	LOC100498399
rna39626	LOC100498399
rna59183	garem2
rna33902	Xetrov90028131m.g
rna63755	LOC100485351
rna41764	LOC101730827
rna46830	LOC101730895
rna60680	LOC101734598
rna41292	LOC101734656
rna55119	hsf1
rna48276	LOC108645217
rna56884	scx
rna56885	scx
rna28404	Xetrov90028137m.g
rna29118	bop1
rna54256	mroh1
rna61396	LOC105945725
rna61394	LOC105945725
rna61393	LOC105945725
rna61398	LOC105945725
rna61399	LOC105945725
rna61392	LOC105945725
rna61395	LOC105945725
rna61397	LOC105945725
rna61400	LOC105945725
rna61401	LOC105945725
rna61404	LOC105945725
rna61403	LOC105945725
rna61402	LOC105945725
rna61406	LOC105945725
rna61405	LOC105945725
rna61407	LOC105945725
rna61408	LOC105945725
rna61409	LOC105945725
rna61410	LOC105945725
rna61411	LOC105945725
rna61412	LOC105945725
rna19387	LOC100489386
rna19386	LOC100489386
rna62767	LOC100488924
rna32937	Xetrov90028142m.g
rna55999	LOC108645445
rna49158	LOC108645218
rna49157	LOC108645218
rna49159	LOC108645218
rna49160	LOC108645218
rna49161	LOC108645218
rna49162	LOC108645218
rna49164	LOC108645218
rna49163	LOC108645218
rna49165	LOC108645218
rna49166	LOC108645218
rna49167	LOC108645218
rna33645	Xetrov90028143m.g
rna57595	LOC108645219
rna57596	LOC108645219
rna33036	Xetrov90028144m.g
rna2464	LOC100489138
rna2465	LOC100489138
rna2466	LOC100489138
rna2469	LOC100489138
rna2467	LOC100489138
rna2468	LOC100489138
rna2470	LOC100489138
rna2471	LOC100489138
rna2472	LOC100489138
rna2473	LOC100489138
rna2463	LOC100489138
rna2474	LOC100489138
rna43568	LOC108645222
rna37548	LOC108645221
rna11236	LOC101731951
rna11235	LOC101731951
rna33325	Xetrov90028146m.g
rna57719	LOC100485142
rna61451	LOC108645220
rna61450	LOC108645220
rna29485	Xetrov90028147m.g
rna46152	LOC101733103
rna46475	LOC101734858
rna33308	Xetrov90028149m.g
rna32260	Xetrov90028150m.g
rna31914	Xetrov90028151m.g
rna34612	Xetrov90028152m.g
rna28931	Xetrov90028153m.g
rna31522	Xetrov90028154m.g
rna34233	Xetrov90028155m.g
rna29564	Xetrov90028156m.g
rna28455	Xetrov90028157m.g
rna32627	Xetrov90028157m.g
rna29348	Xetrov90028158m.g
rna38605	LOC105946094
rna54179	wnt7b
rna28329	Xetrov90028161m.g
rna38463	atxn10
rna28715	Xetrov90028163m.g
rna31251	Xetrov90028164m.g
rna44148	fam168a
rna50611	relt
rna58201	LOC101732513
rna35348	LOC108645223
rna5467	arhgef17
rna5466	arhgef17
rna59077	miip
rna31725	Xetrov90028170m.g
rna51208	slc35f5
rna32575	Xetrov90028171m.g
rna35441	LOC101735127
rna43544	LOC101735182
rna54866	LOC101733098
rna34746	Xetrov90028174m.g
rna44391	LOC105945728
rna41453	LOC105945729
rna49619	LOC100488373
rna39680	LOC101733267
rna64379	LOC101735292
rna27713	Xetrov90028178m.g
rna28143	LOC101733332
rna62067	LOC100489880
rna62068	LOC100489880
rna62069	LOC100489880
rna62070	LOC100489880
rna5989	med21
rna5988	med21
rna5990	med21
rna47419	spag8
rna28699	Xetrov90028183m.g
rna39110	LOC101730330
rna5338	atp4a
rna5339	atp4a
rna31205	Xetrov90028185m.g
rna31743	Xetrov90028185m.g
rna43224	LOC101730389
rna64370	LOC101730451
rna56021	LOC108645446
rna39136	LOC101730507
rna45370	LOC100497766
rna45369	LOC100497766
rna45371	LOC100497766
rna32285	Xetrov90028188m.g
rna27623	Xetrov90028188m.g
rna50927	araf
rna53582	LOC105946099
rna28167	Xetrov90028191m.g
rna34882	Xetrov90028192m.g
rna37400	LOC108644498
rna33486	Xetrov90028193m.g
rna28820	Xetrov90028194m.g
rna31225	Xetrov90028195m.g
rna30726	Xetrov90028196m.g
rna31084	Xetrov90028197m.g
rna58115	LOC108645224
rna61870	kiss2
rna40344	rdh11
rna49750	LOC100491922
rna52782	btn2a2
rna35140	LOC100496812
rna32025	Xetrov90028203m.g
rna43601	sspo
rna48870	LOC100493914
rna50458	asun
rna40893	grin1
rna40891	grin1
rna40895	grin1
rna40894	grin1
rna40890	grin1
rna40892	grin1
rna40896	grin1
rna40897	grin1
rna34069	Xetrov90028217m.g
rna64031	LOC100216141
rna56404	znf618
rna30752	Xetrov90028227m.g
rna28157	Xetrov90028228m.g
rna5633	il11ra
rna5632	il11ra
rna39549	LOC101734206
rna11995	LOC100490971
rna11994	LOC100490971
rna45853	phf24
rna30057	Xetrov90028231m.g
rna58745	LOC100495011
rna37301	LOC101731047
rna45506	LOC101734247
rna45862	LOC101731297
rna56263	efna4
rna47655	wnk2
rna5103	fam120a
rna5101	fam120a
rna5102	fam120a
rna5104	fam120a
rna35069	LOC101733255
rna36910	LOC101731471
rna57980	LOC101731716
rna57981	LOC101731716
rna57979	LOC101731716
rna51864	LOC108645226
rna45390	c1orf43
rna39057	ubap2l
rna62324	LOC101731288
rna56062	LOC108645227
rna30651	Xetrov90028242m.g
rna42146	LOC100491015
rna28311	Xetrov90028246m.g
rna32759	LOC100491183
rna27788	Xetrov90028248m.g
rna30412	Xetrov90028249m.g
rna60062	LOC100492873
rna32498	Xetrov90028251m.g
rna47579	LOC100493036
rna28646	Xetrov90028253m.g
rna35912	LOC101733262
rna33699	Xetrov90028255m.g
rna28466	Xetrov90028256m.g
rna43979	LOC105948311
rna52112	LOC108645225
rna32166	Xetrov90028257m.g
rna59916	LOC100494884
rna28468	Xetrov90028259m.g
rna29183	Xetrov90028259m.g
rna38775	LOC100495187
rna33728	Xetrov90028260m.g
rna51402	LOC101731573
rna46876	mul1
rna46877	mul1
rna46878	mul1
rna56044	fam43b
rna43249	LOC101730792
rna44792	trim66
rna44793	trim66
rna44791	trim66
rna41763	cda
rna48243	fpgt
rna50972	stk33
rna50973	stk33
rna50974	stk33
rna50975	stk33
rna6099	rpl13a
rna6100	rpl13a
rna41846	LOC101731782
rna11134	fam163b
rna11133	fam163b
rna57842	adamtsl2
rna29731	adamtsl2
rna37004	tor4a
rna37005	tor4a
rna37006	tor4a
rna37007	tor4a
rna37008	tor4a
rna44697	ddr2
rna44698	ddr2
rna5461	ier3
rna5460	ier3
rna48448	LOC100497187
rna48449	LOC100497187
rna57541	LOC101731956
rna57542	LOC101731956
rna57543	LOC101731956
rna57544	LOC101731956
rna30654	Xetrov90028275m.g
rna31605	Xetrov90028275m.g
rna28651	Xetrov90028276m.g
rna34248	LOC101732024
rna29434	LOC101732084
rna54509	LOC101732084
rna47908	LOC108645448
rna64219	LOC105946101
rna46099	rnf169
rna60151	glmp
rna47005	LOC108645228
rna39341	LOC101730833
rna12934	ssr2
rna12935	ssr2
rna28446	Xetrov90028282m.g
rna31013	Xetrov90028283m.g
rna55633	arhgef2
rna29032	Xetrov90028285m.g
rna42360	LOC100486394
rna42361	LOC100486394
rna28003	Xetrov90028289m.g
rna29487	Xetrov90028290m.g
rna46288	LOC101731024
rna39905	LOC101730957
rna59373	garem2
rna53141	hadha
rna12984	hadhb
rna12985	hadhb
rna12986	hadhb
rna39145	adgrf3
rna33312	LOC101734950
rna30449	Xetrov90028299m.g
rna30450	Xetrov90028299m.g
rna49477	slc5a6
rna32068	Xetrov90028299m.g
rna56432	LOC108644720
rna56431	LOC108644720
rna43307	LOC108644719
rna38765	LOC108644717
rna53193	LOC108644718
rna34521	LOC100498393
rna34034	Xetrov90028302m.g
rna35538	LOC108644716
rna32938	Xetrov90028304m.g
rna29991	Xetrov90028305m.g
rna28943	Xetrov90028306m.g
rna31482	Xetrov90028307m.g
rna30339	Xetrov90028308m.g
rna29384	LOC100494409
rna32111	Xetrov90028310m.g
rna30887	Xetrov90028310m.g
rna27731	Xetrov90028311m.g
rna30560	Xetrov90028306m.g
rna33193	Xetrov90028312m.g
rna31341	Xetrov90028313m.g
rna32327	Xetrov90028313m.g
rna33214	LOC101734289
rna34918	Xetrov90028315m.g
rna28357	LOC101730455
rna29149	LOC100493730
rna29932	Xetrov90028318m.g
rna33273	Xetrov90028319m.g
rna30383	Xetrov90028320m.g
rna31290	Xetrov90028321m.g
rna28356	Xetrov90028322m.g
rna33078	LOC101730510
rna33090	Xetrov90028324m.g
rna30536	Xetrov90028325m.g
rna31531	Xetrov90028326m.g
rna33617	Xetrov90028325m.g
rna30927	Xetrov90028325m.g
rna33610	Xetrov90028325m.g
rna30908	Xetrov90028325m.g
rna31926	Xetrov90028325m.g
rna34627	LOC100494572
rna30115	LOC100494723
rna31513	Xetrov90028329m.g
rna34037	Xetrov90028330m.g
rna29569	Xetrov90028331m.g
rna32966	LOC101732606
rna28540	Xetrov90028333m.g
rna32979	Xetrov90028334m.g
rna28541	Xetrov90028334m.g
rna30901	Xetrov90028335m.g
rna30622	Xetrov90028336m.g
rna33449	Xetrov90028337m.g
rna28597	LOC100487977
rna1038	LOC100489718
rna1039	LOC100489718
rna36307	rassf10
rna60549	LOC101731030
rna28344	LOC100492205
rna28271	Xetrov90028341m.g
rna49045	LOC105946102
rna49046	LOC105946102
rna12344	nacc2
rna12345	nacc2
rna12346	nacc2
rna12343	nacc2
rna33686	Xetrov90028343m.g
rna5682	c9orf69
rna5683	c9orf69
rna36535	acot7
rna57522	LOC101732259
rna53224	LOC101732312
rna37024	LOC101732375
rna35321	LOC108645229
rna40579	LOC100489231
rna40581	LOC100489231
rna40580	LOC100489231
rna63860	LOC100495290
rna63859	LOC100495290
rna63858	LOC100495290
rna63861	LOC100495290
rna31548	Xetrov90028348m.g
rna17273	zbtb43
rna17274	zbtb43
rna27653	Xetrov90028352m.g
rna46617	LOC105947159
rna37547	tead1
rna15577	fstl1
rna15576	fstl1
rna50265	LOC108645230
rna29040	Xetrov90028355m.g
rna43281	lrrc58
rna52113	gpr156
rna52114	gpr156
rna47486	gsk3b
rna47487	gsk3b
rna31614	Xetrov90028359m.g
rna49667	nr1i2
rna49668	nr1i2
rna56009	maats1
rna15416	cox17
rna15415	cox17
rna15417	cox17
rna15418	cox17
rna57067	popdc2
rna1489	kcne3
rna1488	kcne3
rna52736	LOC101734358
rna62759	LOC101734309
rna39256	LOC105946621
rna9208	pgm2l1
rna9207	pgm2l1
rna52379	LOC101731742
rna60661	large
rna29045	Xetrov90028367m.g
rna54571	LOC100145277
rna46392	LOC100498455
rna41311	LOC101732965
rna41312	LOC101732965
rna41313	LOC101732965
rna41315	LOC101732965
rna41314	LOC101732965
rna41318	LOC101732965
rna41319	LOC101732965
rna41316	LOC101732965
rna41320	LOC101732965
rna41317	LOC101732965
rna41322	LOC101732965
rna41321	LOC101732965
rna59424	LOC101730294
rna59425	LOC101730294
rna36449	LOC105947979
rna47207	LOC105947981
rna33998	LOC101735028
rna29073	LOC101735028
rna31855	LOC101735028
rna29082	LOC101735028
rna31863	LOC101735028
rna34280	LOC100494670
rna53587	LOC101730374
rna62544	LOC101730419
rna39927	LOC101730458
rna35768	LOC101735205
rna56319	tyrobp
rna36389	LOC101735259
rna56793	nfkbid
rna46728	nphs1
rna11961	kirrel2
rna11962	kirrel2
rna36125	aplp1
rna30268	aplp1
rna29024	aplp1
rna31351	aplp1
rna28616	Xetrov90028379m.g
rna26454	arhgap33
rna26453	arhgap33
rna52733	LOC101730585
rna28292	Xetrov90028382m.g
rna59012	LOC100494135
rna40149	lin37
rna9920	hspb6
rna9919	hspb6
rna1746	psenen
rna1745	psenen
rna1747	psenen
rna64013	LOC108644721
rna47607	LOC100495085
rna47608	LOC100495085
rna5452	kmt2b
rna5451	kmt2b
rna27224	rbm42
rna27225	rbm42
rna27226	rbm42
rna4018	foxk2
rna4017	foxk2
rna23859	wdr45b
rna23860	wdr45b
rna23858	wdr45b
rna56969	rab40b
rna56970	rab40b
rna5343	lrrc73
rna5342	lrrc73
rna38260	LOC105946103
rna35655	stkld1
rna21088	rexo4
rna21089	rexo4
rna52184	sardh
rna59195	dbh
rna30375	Xetrov90028398m.g
rna32119	Xetrov90028399m.g
rna39854	LOC101733158
rna47835	LOC100486807
rna56721	LOC108645449
rna30028	Xetrov90028401m.g
rna29313	Xetrov90028402m.g
rna33725	Xetrov90028403m.g
rna35198	LOC101733369
rna38083	nisch
rna53267	uqcrc1
rna59382	LOC100488231
rna36557	LOC100487921
rna33101	Xetrov90028406m.g
rna34677	Xetrov90028407m.g
rna42626	LOC100485242
rna51153	LOC101733417
rna63923	LOC101732664
rna31480	polr2a
rna40912	slc16a13
rna28932	polr2a
rna31499	lcmt2
rna43350	lcmt2
rna33869	lcmt2
rna31166	lcmt2
rna14684	aldh3b1-like.2
rna14683	aldh3b1-like.2
rna29210	Xetrov90028413m.g
rna31716	Xetrov90028414m.g
rna29154	Xetrov90028415m.g
rna59609	LOC101733545
rna38939	LOC101733600
rna33508	Xetrov90028418m.g
rna28786	Xetrov90028419m.g
rna34695	Xetrov90028420m.g
rna47055	LOC105946105
rna59679	ubr4
rna36968	LOC108645231
rna41605	emc1
rna41606	emc1
rna48087	LOC108645232
rna29051	Xetrov90028427m.g
rna358	LOC105947317
rna63850	sorcs3
rna30712	LOC100498333
rna32217	LOC100498333
rna13603	LOC100497729
rna13604	LOC100497729
rna13605	LOC100497729
rna13602	LOC100497729
rna55592	LOC108645233
rna43690	LOC101733590
rna27799	LOC101733531
rna33688	Xetrov90028432m.g
rna34921	Xetrov90028432m.g
rna28178	Xetrov90028433m.g
rna32823	LOC101733341
rna47526	abcc8
rna39580	gtf2h1
rna39581	gtf2h1
rna39582	gtf2h1
rna30272	LOC101733998
rna60552	saal1
rna30023	Xetrov90028439m.g
rna64373	tph1
rna50430	sergef
rna43788	LOC108645234
rna43789	LOC108645234
rna10464	kcnc1
rna10469	kcnc1
rna10465	kcnc1
rna10468	kcnc1
rna10470	kcnc1
rna10471	kcnc1
rna10466	kcnc1
rna10467	kcnc1
rna10472	kcnc1
rna10463	kcnc1
rna48057	LOC101735010
rna60109	bspry
rna3746	hdhd3
rna3745	hdhd3
rna15613	alad
rna15614	alad
rna15612	alad
rna10310	pole3
rna10311	pole3
rna10312	pole3
rna55967	cunh9orf43
rna2209	tubb4b
rna2208	tubb4b
rna2210	tubb4b
rna31681	LOC100495602
rna35815	LOC100496865
rna18864	slc34a3
rna18863	slc34a3
rna49685	LOC108645235
rna27933	Xetrov90028453m.g
rna12522	golt1b
rna12523	golt1b
rna52941	osr1
rna60104	ttll12
rna31016	LOC101734418
rna31739	Xetrov90028458m.g
rna55962	LOC108645236
rna31137	Xetrov90028459m.g
rna28216	Xetrov90028459m.g
rna34926	Xetrov90028459m.g
rna62165	LOC108645237
rna62166	LOC108645237
rna62167	LOC108645237
rna45504	LOC101734245
rna34072	Xetrov90028462m.g
rna33488	Xetrov90028463m.g
rna43223	kcnk5
rna49781	LOC108645238
rna64368	LOC101734310
rna7762	saysd1
rna7763	saysd1
rna32183	glp1r
rna45752	glp1r
rna36719	LOC105946106
rna42903	cacng1
rna45848	ggt6
rna45849	ggt6
rna52104	LOC101734796
rna33099	Xetrov90028469m.g
rna39236	edn3
rna40854	znf831
rna23819	LOC100495442
rna23818	LOC100495442
rna62895	LOC108645452
rna41457	LOC101735080
rna30451	Xetrov90028474m.g
rna27882	Xetrov90028475m.g
rna8697	LOC101735128
rna8698	LOC101735128
rna42400	c9orf172
rna9569	phpt1
rna9570	phpt1
rna27637	Xetrov90028479m.g
rna34383	Xetrov90028480m.g
rna34933	Xetrov90028480m.g
rna38046	mamdc4
rna60584	rpl12
rna32516	Xetrov90028482m.g
rna54385	lrsam1
rna54386	lrsam1
rna29403	Xetrov90028484m.g
rna34127	Xetrov90028485m.g
rna47516	fkbp15
rna47517	fkbp15
rna47518	fkbp15
rna44499	LOC108645453
rna32017	Xetrov90028487m.g
rna53124	LOC105946110
rna29424	Xetrov90028488m.g
rna39194	LOC105946109
rna58096	LOC108644723
rna16395	psmd3
rna16394	psmd3
rna49182	csf3
rna35459	thra
rna35460	thra
rna21728	nr1d1
rna21729	nr1d1
rna15851	msl1
rna15850	msl1
rna193	casc3
rna194	casc3
rna196	casc3
rna195	casc3
rna197	casc3
rna192	casc3
rna44453	rapgefl1
rna44454	rapgefl1
rna44455	rapgefl1
rna44456	rapgefl1
rna17225	wipf2
rna17226	wipf2
rna17227	wipf2
rna17224	wipf2
rna24343	cdc6
rna24342	cdc6
rna24344	cdc6
rna62673	LOC108644722
rna28741	rara
rna54296	rara
rna42514	LOC100497858
rna62979	gjd3
rna62980	gjd3
rna28421	Xetrov90028503m.g
rna28697	LOC101734590
rna6330	top2a
rna6331	top2a
rna6329	top2a
rna6328	top2a
rna61907	LOC101731003
rna53581	LOC101734701
rna49978	LOC101734763
rna45606	igfbp4
rna40889	tns4
rna58732	ccr7
rna58733	ccr7
rna45515	smarce1
rna21282	krt222
rna21281	krt222
rna58609	LOC100487269
rna52396	krt10
rna28725	Xetrov90028517m.g
rna33159	Xetrov90028518m.g
rna37900	LOC100158585
rna44535	LOC100488172
rna7370	krt24-like.2
rna7371	krt24-like.2
rna54051	LOC101731128
rna893	LOC100488018
rna894	LOC100488018
rna23743	xak-c
rna23741	xak-c
rna23742	xak-c
rna1724	krt12
rna1725	krt12
rna19691	xk81a1
rna19690	xk81a1
rna13839	LOC549413
rna13838	LOC549413
rna48210	LOC101730713
rna1187	krt16
rna1186	krt16
rna61145	krt14
rna38120	LOC101731064
rna30635	Xetrov90028531m.g
rna28681	Xetrov90028532m.g
rna39550	LOC105946112
rna31490	Xetrov90028534m.g
rna49512	LOC108645454
rna23100	atp1b2
rna23101	atp1b2
rna30378	Xetrov90028536m.g
rna63913	tp53
rna58015	slc16a13
rna36609	acap1
rna45335	neurl4
rna34030	Xetrov90028540m.g
rna31354	Xetrov90028541m.g
rna32810	Xetrov90028542m.g
rna56277	LOC105946113
rna5192	LOC100498128
rna5191	LOC100498128
rna17950	ptpn23
rna17949	ptpn23
rna24784	scap
rna24785	scap
rna24786	scap
rna24787	scap
rna49591	elp6
rna49592	elp6
rna56086	LOC105947717
rna54161	bcas2
rna63912	ndufb10
rna57095	LOC101730578
rna34095	Xetrov90028553m.g
rna30831	LOC100489931
rna28283	Xetrov90028555m.g
rna31484	Xetrov90028555m.g
rna28947	Xetrov90028556m.g
rna64311	LOC100490464
rna32734	Xetrov90028558m.g
rna31442	Xetrov90028558m.g
rna30470	Xetrov90028558m.g
rna41140	LOC101730432
rna40347	LOC100485876
rna48832	LOC101730786
rna50077	LOC101730489
rna31331	Xetrov90028559m.g
rna34439	Xetrov90028560m.g
rna59877	LOC108645240
rna62170	LOC101734832
rna62171	LOC101734832
rna29830	Xetrov90028562m.g
rna31867	LOC100494628
rna34791	LOC100494628
rna31974	LOC101731181
rna50569	LOC105946115
rna29413	Xetrov90028565m.g
rna10222	LOC108645242
rna10221	LOC108645242
rna10223	LOC108645242
rna10220	LOC108645242
rna10224	LOC108645242
rna32135	Xetrov90028567m.g
rna14202	LOC108645241
rna14203	LOC108645241
rna14205	LOC108645241
rna14204	LOC108645241
rna14206	LOC108645241
rna14201	LOC108645241
rna14207	LOC108645241
rna14208	LOC108645241
rna14209	LOC108645241
rna14210	LOC108645241
rna30351	Xetrov90028569m.g
rna33190	Xetrov90028570m.g
rna32373	Xetrov90028571m.g
rna31619	Xetrov90028571m.g
rna58517	LOC108645455
rna29008	Xetrov90028572m.g
rna34015	Xetrov90028572m.g
rna34522	Xetrov90028573m.g
rna55925	LOC101730950
rna64145	LOC105947074
rna29589	Xetrov90028576m.g
rna56153	LOC100494316
rna38947	LOC101731295
rna33194	Xetrov90028579m.g
rna61800	LOC100498391
rna30894	Xetrov90028581m.g
rna33575	Xetrov90028582m.g
rna59354	LOC101731414
rna4029	LOC101731570
rna4028	LOC101731570
rna60200	LOC108644474
rna50406	LOC108644492
rna43995	amn1
rna32078	Xetrov90028587m.g
rna37702	kiaa1551
rna37704	kiaa1551
rna37703	kiaa1551
rna37705	kiaa1551
rna47360	bicd1
rna33299	bicd1
rna55784	LOC105946023
rna2401	LOC101732160
rna53349	mtnr1b
rna24636	smc3
rna24635	smc3
rna3797	dusp5
rna3796	dusp5
rna61672	etfbkmt
rna47935	barx1
rna47936	barx1
rna32209	Xetrov90028596m.g
rna30030	Xetrov90028597m.g
rna34487	Xetrov90028597m.g
rna28460	LOC101732080
rna30861	LOC101732080
rna40549	LOC101732275
rna49103	LOC101732337
rna60935	LOC105946118
rna39791	LOC105946120
rna61368	LOC101732396
rna61599	taf10
rna13317	nup98
rna13318	nup98
rna45337	chrna10
rna45336	chrna10
rna29500	Xetrov90028602m.g
rna8886	LOC105946614
rna45285	znf347
rna47211	LOC101732517
rna38715	LOC101732571
rna38382	LOC108645475
rna59358	LOC101732630
rna63663	LOC101733143
rna48675	LOC101732686
rna36441	znf148
rna36442	znf148
rna61414	xrra1
rna40406	LOC105945759
rna36785	LOC108645243
rna16434	LOC101732900
rna16433	LOC101732900
rna28889	Xetrov90028610m.g
rna30491	LOC101734334
rna33148	Xetrov90028612m.g
rna33577	Xetrov90028613m.g
rna31400	Xetrov90028614m.g
rna30655	Xetrov90028615m.g
rna28757	Xetrov90028616m.g
rna33564	Xetrov90028617m.g
rna61088	LOC101732307
rna38969	LOC101732934
rna38970	LOC101732934
rna44385	mansc1
rna44384	mansc1
rna24967	loh12cr1
rna24965	loh12cr1
rna24966	loh12cr1
rna24968	loh12cr1
rna13491	dusp16
rna13492	dusp16
rna13493	dusp16
rna13494	dusp16
rna21122	crebl2
rna33102	Xetrov90028627m.g
rna32116	Xetrov90028628m.g
rna34795	Xetrov90028629m.g
rna29373	Xetrov90028630m.g
rna31940	Xetrov90028631m.g
rna30892	Xetrov90028632m.g
rna33569	Xetrov90028633m.g
rna34585	Xetrov90028634m.g
rna32585	Xetrov90028635m.g
rna28833	Xetrov90028635m.g
rna33170	Xetrov90028636m.g
rna30367	Xetrov90028637m.g
rna28492	Xetrov90028638m.g
rna47307	gpr19
rna26360	pex26
rna26361	pex26
rna26362	pex26
rna26363	pex26
rna26364	pex26
rna26365	pex26
rna26366	pex26
rna26359	pex26
rna26367	pex26
rna26368	pex26
rna26369	pex26
rna26370	pex26
rna26371	pex26
rna29216	Xetrov90028641m.g
rna64152	tuba8
rna51956	usp18
rna51954	usp18
rna51957	usp18
rna51953	usp18
rna51955	usp18
rna31344	Xetrov90028645m.g
rna31105	Xetrov90028646m.g
rna60275	mical3
rna60276	mical3
rna60279	mical3
rna60280	mical3
rna60278	mical3
rna60277	mical3
rna60281	mical3
rna60283	mical3
rna60282	mical3
rna60284	mical3
rna60285	mical3
rna29053	Xetrov90028649m.g
rna46242	bcl2l13
rna25230	atp6v1e1
rna25228	atp6v1e1
rna25229	atp6v1e1
rna51377	slc25a18
rna51378	slc25a18
rna51379	slc25a18
rna51380	slc25a18
rna51382	slc25a18
rna51381	slc25a18
rna24795	cecr2
rna24796	cecr2
rna60910	bcl2l13
rna29881	Xetrov90028656m.g
rna54693	cecr1
rna60855	cecr5
rna54705	cecr6
rna44683	LOC101733412
rna38432	LOC105946860
rna57894	cacna1c
rna57896	cacna1c
rna57899	cacna1c
rna57897	cacna1c
rna57895	cacna1c
rna57898	cacna1c
rna47852	dcp1b
rna47854	dcp1b
rna47853	dcp1b
rna57955	cacna2d4
rna57953	cacna2d4
rna57956	cacna2d4
rna57954	cacna2d4
rna53188	lrtm2
rna47586	LOC101733286
rna34050	Xetrov90028668m.g
rna34345	Xetrov90028669m.g
rna49500	LOC105946121
rna1267	LOC101732803
rna1268	LOC101732803
rna47087	LOC101732841
rna54738	LOC105945764
rna29003	Xetrov90028671m.g
rna31828	Xetrov90028672m.g
rna39373	LOC101733081
rna33003	Xetrov90028673m.g
rna31027	Xetrov90028674m.g
rna32058	Xetrov90028675m.g
rna45168	LOC108645245
rna29929	Xetrov90028677m.g
rna30437	Xetrov90028678m.g
rna61705	LOC100498235
rna53403	LOC101732949
rna49212	LOC108645244
rna40569	LOC101733059
rna35766	LOC101733009
rna62220	msl3
rna62193	micalcl
rna45273	LOC100135144
rna60317	LOC101733409
rna60318	LOC101733409
rna52304	capn5
rna39487	LOC108645246
rna12850	omp
rna12849	omp
rna40518	LOC101731780
rna53564	LOC100496130
rna25246	piwil3
rna25247	piwil3
rna29057	Xetrov90028687m.g
rna28331	Xetrov90028689m.g
rna34616	Xetrov90028690m.g
rna43532	LOC101732372
rna43533	LOC101732372
rna43534	LOC101732372
rna43535	LOC101732372
rna43536	LOC101732372
rna37317	LOC101733477
rna37318	LOC101733477
rna14102	xa-1
rna14103	xa-1
rna35332	fam83h
rna57990	LOC101733457
rna43254	LOC101733523
rna49428	LOC105945767
rna39314	gnl3
rna62389	pbrm1
rna30582	pbrm1-like.2
rna29547	pbrm1-like.2
rna51532	LOC101733834
rna40541	LOC101733578
rna30883	LOC100487136
rna5723	msln-like.2
rna5722	msln-like.2
rna34543	Xetrov90028703m.g
rna28965	Xetrov90028703m.g
rna55725	LOC108644490
rna28535	Xetrov90028704m.g
rna20984	LOC108645248
rna20983	LOC108645248
rna29497	Xetrov90028706m.g
rna63261	LOC101733740
rna32400	Xetrov90028707m.g
rna61435	LOC101733841
rna36410	dido1
rna36411	dido1
rna36412	dido1
rna36413	dido1
rna36414	dido1
rna45180	tcfl5
rna51754	col9a3
rna9114	ogfr
rna9115	ogfr
rna47003	LOC105945219
rna42895	LOC101733404
rna55159	tbxas1
rna33269	Xetrov90028717m.g
rna64353	nup50
rna27028	kiaa0930
rna27029	kiaa0930
rna22901	upk3a
rna22900	upk3a
rna42241	smc1b
rna35920	ribc2
rna63372	wipi1
rna46959	LOC101733948
rna39447	LOC101731038
rna39448	LOC101731038
rna39450	LOC101731038
rna39449	LOC101731038
rna34204	Xetrov90028726m.g
rna27686	Xetrov90028727m.g
rna32605	Xetrov90028728m.g
rna33334	Xetrov90028729m.g
rna34909	Xetrov90028729m.g
rna27747	Xetrov90028730m.g
rna29239	Xetrov90028731m.g
rna11255	LOC108644445
rna11256	LOC108644445
rna11257	LOC108644445
rna11254	LOC108644445
rna33289	Xetrov90028732m.g
rna30649	Xetrov90028734m.g
rna55841	ptpn3
rna33533	Xetrov90028736m.g
rna64315	mocos
rna64314	mocos
rna42780	LOC101731726
rna42781	LOC101731726
rna42782	LOC101731726
rna42783	LOC101731726
rna42784	LOC101731726
rna34346	Xetrov90028739m.g
rna37041	slc15a5
rna52718	LOC101734103
rna33783	Xetrov90028743m.g
rna28999	Xetrov90028744m.g
rna31637	Xetrov90028745m.g
rna34336	Xetrov90028746m.g
rna44593	LOC108645476
rna29145	Xetrov90028747m.g
rna29997	Xetrov90028748m.g
rna29666	Xetrov90028749m.g
rna56323	LOC101734942
rna56553	LOC105945771
rna35978	slc3a1
rna57237	LOC101734369
rna31952	Xetrov90028751m.g
rna45923	mir133c
rna45924	mir133c
rna59426	mir1a-2
rna59427	mir1a-2
rna51778	LOC733515
rna52933	ccdc14
rna52934	ccdc14
rna52935	ccdc14
rna55192	LOC101734442
rna28051	Xetrov90028753m.g
rna50554	LOC100493193
id195341	LOC101730620
rna18986	LOC101730620
id604549	LOC100493691
rna29100	Xetrov90028756m.g
rna54621	LOC100494031
rna54622	LOC100494031
rna57720	LOC105946126
rna28839	Xetrov90028758m.g
rna46221	iqsec1
rna28004	Xetrov90028760m.g
rna28760	Xetrov90028760m.g
rna33380	Xetrov90028760m.g
rna34347	Xetrov90028760m.g
