GM.5.0.Sox.0001	SRY,SOX9,SOX13,SOX15
GM.5.0.Nuclear_receptor.0115	NR2F6
GM.5.0.Grainyhead.0008	TFCP2
GM.5.0.Rel.0023	NFKB2
GM.5.0.Myb_SANT.0015	SMARCA5
GM.5.0.Homeodomain.0168	NKX2-5
GM.5.0.STAT.0020	STAT3
GM.5.0.RFX.0010	RFX1
GM.5.0.Nuclear_receptor.0117	NR5A2
GM.5.0.Nuclear_receptor.0118	NR1I2,NR1I3
GM.5.0.IRF.0018	IRF1
GM.5.0.RFX.0011	RFX1
GM.5.0.Nuclear_receptor.0119	PPARG,PPARA
GM.5.0.Sox.0034	SOX10
GM.5.0.STAT.0021	STAT4
GM.5.0.bZIP.0085	FOSL1
GM.5.0.Homeodomain.0169	LHX3
GM.5.0.C2H2_ZF.0220	ZNF770
GM.5.0.bHLH.0106	LYL1
GM.5.0.Unknown.0133	ZSCAN31
GM.5.0.C2H2_ZF.0222	ZNF282
GM.5.0.C2H2_ZF_Homeodomain.0004	TCF4,ZEB1
GM.5.0.bHLH.0107	AHR,ARNT
GM.5.0.bHLH.0108	PTF1A
GM.5.0.C2H2_ZF.0223	EGR4
GM.5.0.bZIP.0086	MAF
GM.5.0.Unknown.0135	CACD
GM.5.0.Paired_box.0018	PAX8
GM.5.0.bHLH.0110	TFAP4
GM.5.0.C2H2_ZF.0225	ZNF768
GM.5.0.Sox.0035	SOX14,SOX15,SOX2,SRY,ENSMUSG00000079994
GM.5.0.bHLH.0111	AHR,ARNT
GM.5.0.Unknown.0138	PTEN
GM.5.0.C2H2_ZF.0227	ZNF317
GM.5.0.HSF.0008	HSF1
GM.5.0.CUT_Homeodomain.0011	CUX1
GM.5.0.Ets.0042	SPIC
GM.5.0.Homeodomain.0170	EN1
GM.5.0.Homeodomain.0171	HESX1,LHX9
GM.5.0.Homeodomain.0172	NKX2-1
GM.5.0.T-box.0021	TBX1
GM.5.0.C2H2_ZF.0229	ZNF708
GM.5.0.Nuclear_receptor.0121	PGR,PR,GRE
GM.5.0.C2H2_ZF.0230	ZNF547
GM.5.0.Nuclear_receptor.0122	NR3C1
GM.5.0.bHLH.0115	TWIST2,BHLHE22
GM.5.0.C2H2_ZF.0231	MAZ
GM.5.0.C2H2_ZF.0233	ZNF324
GM.5.0.Homeodomain.0173	NKX6-1
GM.5.0.C2H2_ZF.0234	ZNF121
GM.5.0.C2H2_ZF.0235	ZBTB7A
GM.5.0.p53.0009	TRP53
GM.5.0.Unknown.0141	ITGB2
GM.5.0.Nuclear_receptor.0123	HNF4
GM.5.0.C2H2_ZF.0237	PATZ1
GM.5.0.ARID_BRIGHT.0004	ARID5B
GM.5.0.C2H2_ZF.0238	ZNF250
GM.5.0.C2H2_ZF.0239	IKZF3,IKZF1
GM.5.0.Unknown.0142	EBNA1
GM.5.0.MADS_box.0020	MEF2A
GM.5.0.C2H2_ZF.0241	SP1
GM.5.0.bHLH.0118	TAL1
GM.5.0.Forkhead.0050	FOXC2
GM.5.0.Mixed.0089	PAX4
GM.5.0.STAT.0022	STAT6
GM.5.0.Homeodomain.0175	SIX6
GM.5.0.C2H2_ZF.0242	ZNF502
GM.5.0.Unknown.0146	FUBP1
GM.5.0.RFX.0013	RFX1
GM.5.0.C2H2_ZF.0244	YY1
GM.5.0.Forkhead.0051	FOXC1
GM.5.0.C2H2_ZF.0245	ZBTB7B,ZBTB7A
GM.5.0.Forkhead.0052	FOXA2
GM.5.0.MBD.0003	MBD2
GM.5.0.Mixed.0092	TCF7L2
GM.5.0.Homeodomain.0177	NKX2-2
GM.5.0.C2H2_ZF.0248	ZNF384
GM.5.0.Mixed.0093	HBP1
GM.5.0.C2H2_ZF.0249	ZNF165
GM.5.0.STAT.0023	STAT1
GM.5.0.C2H2_ZF.0250	ZNF410
GM.5.0.bHLH.0122	MYC
GM.5.0.bHLH.0123	MYOD1
GM.5.0.C2H2_ZF.0252	ZNF214
GM.5.0.TEA.0006	TEAD1,TEAD3
GM.5.0.Unknown.0152	FOX
GM.5.0.bZIP.0090	NFE2L1,MAFG
GM.5.0.Homeodomain.0178	NKX2-5
GM.5.0.C2H2_ZF.0253	ZBTB48
GM.5.0.Homeodomain_POU.0017	POU6F2
GM.5.0.bZIP.0091	MAFB
GM.5.0.Homeodomain.0179	TLX1
GM.5.0.Homeodomain.0180	HOXC9,HOXA9,MEIS1
GM.5.0.Unknown.0154	CBFB
GM.5.0.Ndt80_PhoG.0001	C11ORF9
GM.5.0.IRF.0019	IRF4
GM.5.0.Unknown.0156	TAF1
GM.5.0.Nuclear_receptor.0124	VDR
GM.5.0.Mixed.0095	POU2F1
GM.5.0.T-box.0022	EOMES
GM.5.0.Nuclear_receptor.0125	NR2C2
GM.5.0.SAND.0008	GMEB2
GM.5.0.Nuclear_receptor.0126	NR2F2
GM.5.0.Unknown.0160	TFAP2
GM.5.0.Homeodomain.0181	VENTX
GM.5.0.bHLH.0127	SREBF2
GM.5.0.C2H2_ZF.0257	ZKSCAN1
GM.5.0.Unknown.0162	BPTF
GM.5.0.C2H2_ZF.0259	GFI1
GM.5.0.SAND.0009	AIRE
GM.5.0.C2H2_ZF.0262	IKZF2
GM.5.0.Forkhead.0053	FOXJ1
GM.5.0.TEA.0007	TEAD2
GM.5.0.C2H2_ZF.0265	ZNF589
GM.5.0.C2H2_ZF.0266	ZNF331
GM.5.0.AT_hook.0004	HMGA1
GM.5.0.Unknown.0166	MYEF2
GM.5.0.C2H2_ZF.0267	PRDM9
GM.5.0.Nuclear_receptor.0127	VDR
GM.5.0.Forkhead.0054	FOXI1
GM.5.0.bHLH.0128	HES1
GM.5.0.C2H2_ZF.0268	KLF1
GM.5.0.C2H2_ZF.0269	MTF1
GM.5.0.bHLH.0129	ARNT2
GM.5.0.C2H2_ZF.0270	ZFP28
GM.5.0.Homeodomain.0183	NKX2-5
GM.5.0.Homeodomain_POU.0018	BRN2,PIT1
GM.5.0.Forkhead.0056	FOXJ3
GM.5.0.Homeodomain.0184	HOXA7
GM.5.0.AT_hook.0005	PHF21A
GM.5.0.GATA.0028	GATA1
GM.5.0.C2H2_ZF.0271	REST
GM.5.0.C2H2_ZF.0272	GFI1B
GM.5.0.Homeodomain.0186	HNF1A
GM.5.0.Nuclear_receptor.0129	AR
GM.5.0.Unknown.0167	ZBTB14
GM.5.0.Homeodomain.0187	CDX2
GM.5.0.Homeodomain.0188	HOXA9,MEIS1
GM.5.0.Myb_SANT.0016	MYB
GM.5.0.Homeodomain_POU.0020	POU5F1
GM.5.0.C2H2_ZF.0275	ZSCAN10
GM.5.0.C2H2_ZF.0276	ZNF449
GM.5.0.GATA.0029	GATA1
GM.5.0.bHLH.0132	EBF1
GM.5.0.C2H2_ZF.0279	ZNF341
GM.5.0.C2H2_ZF.0280	ZNF490
GM.5.0.C2H2_ZF.0281	ZNF784
GM.5.0.IRF.0020	IRF5
GM.5.0.Nuclear_receptor.0130	NR3C1
GM.5.0.DM.0007	DMRTA1
GM.5.0.C2H2_ZF.0282	ZNF680
GM.5.0.Nuclear_receptor.0131	PPARG
GM.5.0.Nuclear_receptor.0132	HNF4A
GM.5.0.Homeodomain.0189	SIX4
GM.5.0.TBP.0005	TBP
GM.5.0.bZIP.0096	JUND,ATF7,BATF3,CREB3,JDP2,XBP1,9430076C15RIK,CREB1,CREB5,FOSB,JUN,FOSL1,FOSL2,JUNB
GM.5.0.C2H2_ZF.0285	ZFP187
GM.5.0.Unknown.0169	HLTF
GM.5.0.C2H2_ZF.0287	ZIC2
GM.5.0.Unknown.0170	OTX
GM.5.0.Mixed.0101	POU2F1
GM.5.0.Forkhead.0058	FOXG1
GM.5.0.HSF.0010	HSF1
GM.5.0.Mixed.0102	PAX7
GM.5.0.Unknown.0171	PAX
GM.5.0.Nuclear_receptor.0136	NR4A2,NR4A1
GM.5.0.Unknown.0172	GATA
GM.5.0.MADS_box.0021	AP1
GM.5.0.bHLH.0133	SREBF1
GM.5.0.C2H2_ZF.0290	YY1
GM.5.0.Homeodomain_POU.0021	POU1F1
GM.5.0.C2H2_ZF.0291	ZIC5
GM.5.0.Myb_SANT.0017	SMARCA5
GM.5.0.Paired_box.0022	PAX1
GM.5.0.p53.0010	TP63
GM.5.0.Homeodomain_POU.0022	POU5F1
GM.5.0.Homeodomain.0192	HOXA5
GM.5.0.TEA.0008	TEAD1
GM.5.0.Homeodomain.0194	ALX4
GM.5.0.bHLH.0134	TFAP4
GM.5.0.Nuclear_receptor.0137	NR2E1
GM.5.0.Grainyhead.0009	TFCP2
GM.5.0.Nuclear_receptor.0138	NR3C1
GM.5.0.C2H2_ZF.0293	ZNF257
GM.5.0.T-box.0023	TBX1,TBX15,TBX20
GM.5.0.C2H2_ZF.0294	ZNF148
GM.5.0.C2H2_ZF_Homeodomain.0005	ZEB1
GM.5.0.C2H2_ZF.0295	OSR2
GM.5.0.RFX.0016	RFX1
GM.5.0.Sox.0036	TCF7
GM.5.0.bHLH.0135	TFAP4
GM.5.0.Unknown.0182	NFYC
GM.5.0.p53.0011	TP73
GM.5.0.DM.0008	DMRT2
GM.5.0.bZIP.0097	BATF,JUND
GM.5.0.MADS_box.0022	SRF
GM.5.0.Nuclear_receptor.0140	AR
GM.5.0.Homeodomain.0196	NKX3-1
GM.5.0.Homeodomain.0197	CRX
GM.5.0.C2H2_ZF.0296	PRDM6
GM.5.0.C2H2_ZF.0297	SP5
GM.5.0.CUT_Homeodomain.0012	CUX1,CUX2
GM.5.0.T-box.0024	TBX2
GM.5.0.Nuclear_receptor.0141	AR
GM.5.0.TEA.0009	TEAD1
GM.5.0.Mixed.0106	MZF1
GM.5.0.Nuclear_receptor.0142	NR1H4
GM.5.0.Ets.0046	SPDEF
GM.5.0.C2H2_ZF.0300	E4F1
GM.5.0.C2H2_ZF.0301	ZNF628
GM.5.0.C2H2_ZF.0302	PLAG1
GM.5.0.bZIP.0098	CREB1
GM.5.0.bHLH.0137	TAL1
GM.5.0.Nuclear_receptor.0143	HNF4
GM.5.0.IRF.0021	IRF7
GM.5.0.bZIP.0099	TEF
GM.5.0.C2H2_ZF.0304	KLF6
GM.5.0.Homeodomain.0198	HOXA9
GM.5.0.C2H2_ZF.0307	ZNF418
GM.5.0.MADS_box.0023	MEF2D
GM.5.0.Homeodomain.0199	HOXD13
GM.5.0.Unknown.0195	TFAP2
GM.5.0.Homeodomain.0200	BARX1
GM.5.0.Homeodomain.0201	TLX1
GM.5.0.C2H2_ZF.0309	SP8
GM.5.0.Ets.0048	FLI1
GM.5.0.C2H2_ZF.0310	ZNF140
GM.5.0.Forkhead.0061	FOXP1
GM.5.0.EIN3.0002	BRCA1
GM.5.0.DM.0009	DMRTC2
GM.5.0.Nuclear_receptor.0146	ESR1
GM.5.0.TEA.0010	TEAD1
GM.5.0.Nuclear_receptor.0148	NR1H4
GM.5.0.Nuclear_receptor.0149	AR
GM.5.0.ARID_BRIGHT.0006	ARID3A
GM.5.0.Homeodomain_POU.0024	CCDC6,POU3F1
GM.5.0.ARID_BRIGHT.0007	ARID3B
GM.5.0.Unknown.0202	TOPORS
GM.5.0.Grainyhead.0011	TFCP2
GM.5.0.C2H2_ZF.0313	MAZ
GM.5.0.Unknown.0204	EGR
GM.5.0.Homeodomain.0203	HNF1,HNF1A
GM.5.0.Homeodomain_POU.0025	POU3F2
GM.5.0.Nuclear_receptor.0150	ESRRA
GM.5.0.bHLH.0138	ENO1,MYCN
GM.5.0.T-box.0026	TBX5
GM.5.0.Nuclear_receptor.0151	NR2F1,HNF4
GM.5.0.Mixed.0109	ZNF350
GM.5.0.RFX.0018	RFX2,RFX3,RFX4,RFX5
GM.5.0.bZIP.0103	BACH1
GM.5.0.C2H2_ZF.0315	MECOM,RUNX1
GM.5.0.C2H2_ZF.0316	ZFP809
GM.5.0.Ets.0049	ELK1
GM.5.0.Unknown.0208	MAFK
GM.5.0.Homeodomain_POU.0026	POU3F1
