gene10841	Xetrov90000001m.g
gene23167	polh
gene19080	LOC100486598
gene33549	xpo5.2
gene29676	xpo5
gene3267	polr1c
gene16386	LOC105945555
gene32869	kif6
gene26744	kcnk16
gene22943	LOC101731658
gene2888	ccdc167
gene33086	LOC101731717
gene15657	Xetrov90012914m.g
gene29319	mocs1
gene12152	Xetrov90012916m.g
gene25642	lrfn2
gene8654	Xetrov90012918m.g
gene9022	Xetrov90012919m.g
gene12016	Xetrov90012920m.g
gene21492	LOC105947471
gene4620	supt7l
gene20368	slc4a1ap
gene15918	LOC100145049
gene30059	mrpl33
gene27069	rbks
gene22056	bre
gene10690	Xetrov90012927m.g
gene15304	Xetrov90012928m.g
gene30434	LOC101733757
gene9496	Xetrov90012928m.g
gene15961	fosl2
gene22311	LOC101732808
gene26289	LOC100492698
gene8932	LOC101732752
gene27765	plb1
gene17972	LOC105947368
gene18634	LOC101731018
gene8443	ppp1cb
gene6024	spdya
gene1274	trmt61b
gene5302	wdr43
gene27482	fam179a
gene20958	c5h2orf71
gene17170	clip4
gene24583	alk
gene10242	LOC101730592
gene8796	Xetrov90012942m.g
gene11359	Xetrov90012943m.g
gene30210	crsp8
gene23318	LOC100486013
gene19227	LOC100486157
gene1954	ypel5
gene179	lbh
gene12759	Xetrov90012949m.g
gene26912	LOC108647646
gene18394	lclat1
gene15190	Xetrov90012951m.g
gene1143	capn13
gene28990	LOC100497805
gene11202	Xetrov90012953m.g
gene25215	galnt14
gene21023	LOC101732339
gene21170	ehd3
gene28672	LOC100497654
gene33480	LOC105947468
gene7998	LOC101735255
gene12773	Xetrov90012959m.g
gene19244	xdh
gene1639	fam96b
gene10288	Xetrov90012962m.g
gene31743	cdc42bpa
gene11196	Xetrov90012964m.g
gene16252	LOC105947467
gene4195	adck3
gene18544	itpkb
gene25453	c1orf95
gene12869	Xetrov90012968m.g
gene3415	parp1
gene5760	LOC101734771
gene3234	lin9
gene7053	mixer
gene3655	mix1
gene2527	bix1.2
gene14751	Xetrov90012975m.g
gene7645	LOC105947466
gene12718	Xetrov90012977m.g
gene7159	bix1.1
gene10736	Xetrov90012979m.g
gene32396	LOC101734448
gene8756	Xetrov90012981m.g
gene4800	LOC100491743
gene18515	LOC101734579
gene4032	acbd3
gene26002	LOC100490733
gene20929	h3f3a
gene7779	sde2
gene7186	lefty
gene3875	tmem63a
gene14686	ephx1
gene18911	ephx1
gene13079	LOC100491909
gene33052	trnaa-cgc
gene21136	trnaa-cgc
gene29208	trnaa-cgc
gene33341	trnaa-ugc
gene18866	trnaa-ugc
gene23152	trnaa-cgc
gene29236	trnaa-cgc
gene33176	trnaa-cgc
gene18675	trnaa-cgc
gene22969	trnaa-cgc
gene30957	trnaa-ugc
gene19761	trnaa-cgc
gene24978	trnaa-cgc
gene27783	trnaa-cgc
gene32851	trnaa-cgc
gene22232	trnaa-cgc
gene25227	trnaa-cgc
gene30716	trnaa-ugc
gene19250	trnaa-cgc
gene17287	trnaa-ugc
gene22481	trnaa-cgc
gene21245	trnaa-ugc
gene28602	trnaa-cgc
gene32125	trnaa-cgc
gene18968	trnaa-cgc
gene23586	trnaa-cgc
gene31119	trnae-uuc
gene26427	trnaa-cgc
gene31555	trnaa-ugc
gene15901	trnaa-cgc
gene21207	trnaa-cgc
gene32921	trnaa-ugc
gene28127	trnae-uuc
gene24951	trnaa-ugc
gene19773	trnaa-cgc
gene30275	trnaa-cgc
gene25157	trnaa-ugc
gene22342	trnaa-ugc
gene16961	trnaa-ugc
gene22474	srp9
gene1199	enah
gene21482	LOC105947465
gene6999	lbr
gene18597	dnah14
gene33782	cnih3
gene7385	wdr26
gene15473	Xetrov90012999m.g
gene2381	cnih4
gene6778	nvl
gene1526	degs1
gene2443	fbxo28
gene5611	tp53bp2
gene2467	capn2.2
gene28760	capn8
gene26944	LOC100497284
gene20465	LOC100498169
gene17001	LOC100379861
gene31368	LOC108647597
gene29619	LOC101730529
gene23182	LOC101731595
gene28841	LOC108647647
gene24867	LOC101730581
gene3907	slc39a9-like.1
gene14127	Xetrov90013016m.g
gene31375	ccdc185
gene18650	LOC108647598
gene1913	tlr5-like.1
gene287	tlr5-like.2
gene33937	disp1
gene28949	trnas-gcu
gene7451	fam177b
gene7397	brox
gene8216	aida
gene11779	Xetrov90013027m.g
gene6389	mia3-like.1
gene12896	Xetrov90013029m.g
gene19533	taf1a
gene24886	hhipl2
gene10361	Xetrov90013033m.g
gene13427	Xetrov90013034m.g
gene8851	LOC101731916
gene25374	dusp10
gene11171	Xetrov90013038m.g
gene3222	hlx
gene6796	marc1-like
gene22303	c5h1orf115
gene6668	mark1
gene27784	LOC105947462
gene32755	rab3gap2
gene26760	iars2
gene15872	mir194-1
gene21188	mir215
gene24199	bpnt1
gene29534	eprs
gene10664	Xetrov90013052m.g
gene10673	Xetrov90013053m.g
gene18550	slc30a10
gene8973	Xetrov90013055m.g
gene23878	lyplal1
gene25744	tgfb2
gene14173	Xetrov90013057m.g
gene2545	rrp15
gene12929	Xetrov90013059m.g
gene1315	spata17
gene16416	gpatch2
gene31290	LOC101732399
gene15125	Xetrov90013063m.g
gene6048	esrrg
gene20703	LOC105947461
gene33264	LOC105947335
gene11132	Xetrov90013066m.g
gene29370	LOC108647599
gene22817	LOC105947334
gene18791	LOC105947460
gene6838	kctd3
gene27210	LOC105947333
gene25086	kcnk2
gene30914	LOC100493599
gene10790	Xetrov90013072m.g
gene2233	cenpf
gene23665	ptpn14
gene4776	smyd2
gene33438	prox1
gene19163	LOC108647648
gene16277	rps6kc1
gene1100	angel2
gene25684	vash2
gene238	flvcr1
gene7084	spata45
gene4248	LOC100494905
gene2723	tatdn3
gene1764	nsl1
gene22858	batf3
gene27962	atf3
gene1657	nenf
gene18641	tmem206
gene21102	ppp2r5a
gene3240	dtl
gene4323	ints7
gene32883	lpgat1
gene32417	nek2
gene7944	slc30a1
gene4974	rd3
gene12777	Xetrov90013099m.g
gene30365	LOC733493
gene30924	mrpl57
gene6161	traf5
gene24786	gltscr1l
gene20768	trerf1
gene28869	ubr2
gene16784	prph2
gene29856	tbcc
gene270	diexf
gene28145	LOC105947013
gene22934	syt14
gene18565	sertad4
gene12890	Xetrov90013111m.g
gene33224	hhat
gene33984	LOC108647600
gene8667	Xetrov90013114m.g
gene32467	kcnh1
gene9006	Xetrov90013116m.g
gene4081	rcor3
gene24305	LOC100485969
gene16577	pkdcc.2
gene29940	LOC101730312
gene11386	Xetrov90013122m.g
gene26851	LOC105947332
gene14068	Xetrov90013124m.g
gene21631	LOC100485669
gene31461	eml4
gene8917	Xetrov90013127m.g
gene26214	LOC101730250
gene2670	cox7a2l
gene31061	kcng3
gene13765	Xetrov90013131m.g
gene6098	haao
gene23339	trnai-uau
gene14371	Xetrov90013133m.g
gene2537	zfp36l2
gene33813	thada
gene16115	plekhh2
gene21272	dync2li1
gene7761	abcg5
gene31826	abcg8
gene2710	lrpprc
gene970	ppm1b
gene28043	slc3a1
gene22812	prepl
gene18044	camkmt
gene30370	six3
gene7376	six2
gene9268	Xetrov90013151m.g
gene20678	srbd1
gene6037	prkce-like.1
gene22741	epas1
gene17165	rhoq
gene4484	pigf
gene1523	cript
gene6123	LOC100496565
gene3971	socs5
gene22990	LOC101734397
gene370	mcfd2
gene20229	ttc7a
gene4184	LOC108647601
gene20953	c2orf61
gene29740	calm1
gene29278	LOC100497309
gene32054	LOC108647602
gene18721	LOC108647649
gene22196	trnac-gca
gene27347	trnac-gca
gene30142	trnac-gca
gene16648	trnac-gca
gene20091	trnah-gug
gene20589	trnac-gca
gene28113	trnac-gca
gene24452	trnac-gca
gene30803	trnac-gca
gene26138	trnac-gca
gene20797	trnac-gca
gene33998	trnac-gca
gene32895	trnac-gca
gene27718	trnas-gcu
gene23016	trnac-gca
gene17671	trnac-gca
gene26847	trnac-gca
gene21008	trnac-gca
gene26616	trnac-gca
gene33897	trnac-gca
gene20365	trnac-gca
gene24209	trnac-gca
gene29478	trnac-gca
gene21310	trnac-gca
gene25896	trnac-gca
gene29493	trnac-gca
gene16055	trnac-gca
gene28111	trnac-gca
gene31194	trnar-gcg
gene17943	trnac-gca
gene25559	trnac-gca
gene30842	trnac-gca
gene15577	Xetrov90013167m.g
gene7745	epcam
gene9995	Xetrov90013169m.g
gene20573	msh2
gene18953	kcnk12
gene9524	Xetrov90013173m.g
gene12253	Xetrov90013174m.g
gene24258	LOC105947458
gene3879	msh6
gene2554	fbxo11
gene11494	Xetrov90013177m.g
gene4753	foxn2
gene24271	ppp1r21
gene15128	Xetrov90013180m.g
gene30787	ston1
gene18041	LOC101731094
gene20818	gtf2a1l
gene25996	lhcgr
gene13292	Xetrov90013185m.g
gene25978	fshr
gene20009	LOC108647650
gene22903	nrxn1
gene13813	Xetrov90013190m.g
gene2003	LOC105947331
gene2638	LOC101730973
gene26867	asb3
gene1882	chac2
gene1328	erlec1
gene7454	gpr75
gene33680	psme4
gene17330	LOC108647651
gene2090	atp12a-like.1
gene27618	acyp2
gene28245	c2orf73
gene32583	LOC105947455
gene17140	LOC105947453
gene15768	LOC101732794
gene21006	LOC108647620
gene9393	Xetrov90013204m.g
gene33547	sptbn1
gene13763	LOC101730842
gene20284	LOC101730842
gene7443	LOC105947452
gene32278	eml6
gene18107	LOC105947451
gene7711	rtn4
gene16194	LOC101732612
gene2947	clhc1
gene289	rps27a
gene28510	mtif2
gene24748	prorsd1p
gene15056	Xetrov90013216m.g
gene19393	ccdc88a
gene29345	sstr4
gene24055	thbd
gene30687	thbd
gene10159	Xetrov90013222m.g
gene33058	cd93
gene2543	gzf1
gene5667	napb
gene3462	gpcpd1
gene20971	LOC105947450
gene25195	chgb
gene2078	trmt6
gene3980	mcm8
gene5032	crls1
gene7459	lrrn4
gene25767	LOC101730476
gene20429	fermt1
gene17792	LOC105947449
gene5660	bmp2
gene3687	hao1
gene4829	tmx4
gene18984	plcb1
gene14396	plcb1
gene18580	LOC101730416
gene9083	Xetrov90013245m.g
gene15444	Xetrov90013245m.g
gene34222	LOC101730349
gene25689	plcb4
gene19320	LOC100488442
gene5703	lamp5
gene27863	pak7
gene1421	ankef1
gene5036	snap25
gene4146	mkks
gene30299	slx4ip
gene29768	jag1
gene12037	Xetrov90013255m.g
gene123	LOC101730233
gene4811	LOC101735256
gene25620	LOC105947329
gene20607	btbd3
gene14923	LOC101730661
gene12550	Xetrov90013260m.g
gene4131	LOC101735148
gene18876	snx5
gene9151	Xetrov90013263m.g
gene32215	rrbp1
gene1176	rbbp9
gene3840	anapc1
gene5260	LOC100135146
gene7867	hebp2
gene25809	LOC100491233
gene19002	sec23b
gene7737	dusp12
gene29184	LOC100491404
gene16530	dtd1
gene20477	LOC105947360
gene26817	slc24a3
gene31937	LOC101734323
gene19201	LOC101734398
gene23206	LOC105947325
gene6672	rin2
gene7286	naa20
gene7371	crnkl1
gene21364	cfap61
gene19660	insm1
gene24787	ralgapa2
gene12878	Xetrov90013289m.g
gene13671	Xetrov90013290m.g
gene1192	LOC100496329
gene11593	LOC101734473
gene3408	LOC101734533
gene27932	kiz
gene25078	xrn2
gene14796	Xetrov90013296m.g
gene6949	nkx2-4
gene2150	nkx2-2
gene15726	Xetrov90013299m.g
gene24814	pax1
gene21679	LOC108647652
gene13660	Xetrov90013302m.g
gene10862	Xetrov90013303m.g
gene10051	Xetrov90013304m.g
gene32694	LOC108647653
gene14443	Xetrov90013305m.g
gene16424	LOC108647654
gene3985	foxa2
gene12454	Xetrov90013307m.g
gene26997	cfap36
gene1844	smek2
gene3864	pnpt1
gene22117	efemp1
gene24655	mir217
gene29389	mir216
gene32556	ccdc85a
gene18234	vrk2
gene2403	fancl
gene1837	rpl34
gene13635	Xetrov90013317m.g
gene30528	bcl11a
gene9372	Xetrov90013321m.g
gene246	papolg
gene6811	rel
gene2951	pus10
gene413	pex13
gene21304	LOC100489859
gene18571	kiaa1841
gene34072	usp34
gene5615	xpo1
gene23220	LOC105947444
gene22189	LOC101733912
gene4928	fam161a
gene4225	cct4
gene16570	commd1
gene6893	b3gnt2
gene21533	LOC100490207
gene16935	LOC108647655
gene18212	ehbp1
gene14486	Xetrov90013337m.g
gene10860	Xetrov90013338m.g
gene10056	Xetrov90013339m.g
gene32562	otx1
gene28810	wdpcp
gene2945	mdh1
gene3609	ugp2
gene652	vps54
gene26211	peli2
gene33684	LOC101734623
gene18317	LOC100491791
gene7305	lgalsl
gene3632	sys1
gene24475	aftph
gene30320	sertad2
gene13107	Xetrov90013355m.g
gene4123	slc1a4
gene15541	Xetrov90013357m.g
gene9209	Xetrov90013358m.g
gene6095	MGC145706
gene722	rab1a
gene460	LOC105947326
gene6216	actr2
gene14305	Xetrov90013363m.g
gene9426	Xetrov90013364m.g
gene1630	spred2
gene30726	LOC108647656
gene33795	meis1
gene10390	Xetrov90013368m.g
gene19334	LOC105947361
gene10682	Xetrov90013369m.g
gene22146	etaa1
gene7401	c1d
gene31732	LOC100488029
gene3236	wdr92
gene4880	pno1
gene5095	ppp3r1
gene9807	Xetrov90013377m.g
gene31861	LOC108647657
gene6210	cnrip1
gene6632	plek
gene25506	fbxo48
gene33773	aplf
gene19291	prokr2
gene10615	Xetrov90013383m.g
gene12018	Xetrov90013384m.g
gene23630	bfsp1
gene27660	pcsk2
gene16342	otor
gene7771	snrpb2
gene8217	kif16b
gene11584	LOC101730454
gene12432	LOC101730394
gene22606	LOC105947446
gene33884	LOC101730509
gene19415	macrod2
gene15289	Xetrov90013393m.g
gene4819	LOC105947295
gene6294	LOC108647595
gene31690	LOC108647658
gene9445	Xetrov90013396m.g
gene6290	flrt3
gene10446	Xetrov90013398m.g
gene5618	LOC105947328
gene5205	LOC100488922
gene15816	ndufaf5
gene4187	esf1
gene33553	tasp1
gene21376	LOC101730606
gene23061	ism1
gene6835	LOC101734968
gene5962	LOC101735025
gene581	LOC101735088
gene31912	sptlc3
gene15617	Xetrov90013411m.g
gene33878	gja1
gene8255	LOC733753
gene196	mtfr2
gene24054	pde7b
gene14357	LOC101734213
gene11305	Xetrov90013417m.g
gene29338	ahi1
gene8009	myb
gene3260	hbs1l
gene536	aldh8a1
gene12588	LOC101733779
gene31270	sgk1
gene26964	slc2a12
gene3995	tbpl1
gene2835	tcf21
gene32741	tfrc
gene27717	eya4
gene6913	rps12
gene599	slc18b1
gene16966	vnn1
gene30281	LOC105947409
gene5953	vnn2
gene24871	taar1
gene20144	LOC100487949
gene33361	taar2
gene28485	LOC100488258
gene23229	LOC108647659
gene17592	gabrr1
gene21701	LOC108644436
gene16491	LOC100493262
gene29922	LOC105947401
gene13932	usp45
gene24235	usp45
gene7531	tstd3
gene2216	ccnc
gene2832	des.2
gene6109	prdm13
gene20161	LOC108647621
gene23060	mchr2
gene28463	sim1
gene14827	Xetrov90013451m.g
gene31242	ascc3
gene10970	Xetrov90013453m.g
gene17709	LOC108647622
gene20476	LOC108647623
gene16624	myct1
gene20525	syne1
gene10474	Xetrov90013455m.g
gene26872	esr1
gene5839	ccdc170
gene4149	zbtb2
gene29902	stxbp5
gene6763	adgb
gene2644	rab32
gene19118	grm1
gene14746	Xetrov90013467m.g
gene32456	shprh
gene20496	LOC108647660
gene16694	LOC101734009
gene6357	LOC101734193
gene26713	LOC105945182
gene27469	LOC101734124
gene7956	mgme1
gene25719	ovol2
gene10642	LOC101731741
gene8571	Xetrov90013477m.g
gene13876	Xetrov90013478m.g
gene6118	csrp2bp
gene3266	dzank1
gene522	polr3f
gene3097	mertk
gene19557	tmem87b
gene16091	LOC105947324
gene14400	Xetrov90013485m.g
gene21365	fbln7
gene13751	Xetrov90013487m.g
gene601	zc3h6
gene3559	ttl
gene6045	nanp
gene33858	polr1b
gene7372	atl2
gene24333	eif4a3
gene10990	Xetrov90013495m.g
gene21970	LOC105947429
gene17793	strn
gene1613	ppp1r14c
gene16327	trim67
gene19416	c1orf131
gene6318	gnpat
gene28108	cbx2
gene8065	dll1
gene17927	fam120b
gene12433	fam120b
gene1020	psmb1
gene67	tbp
gene2837	pdcd2
gene26804	ermard
gene7968	LOC105947357
gene16543	phf10
gene20373	c6orf120
gene29445	wdr27
gene1939	MGC107884
gene18806	thbs2
gene7715	dpy30
gene1110	psen2
gene3482	memo1
gene26820	srd5a2
gene20383	ahctf1
gene23208	LOC105947430
gene19191	LOC101732886
gene23305	sccpdh
gene2013	LOC108647662
gene33455	cnst
gene8200	tfb2m
gene20604	smyd3
gene14406	Xetrov90013534m.g
gene30078	LOC105947431
gene25881	kif26b
gene1627	efcab2
gene19122	ccdc94
gene24272	arid1b
gene715	tmem242
gene16581	zdhhc14
gene21734	synj2
gene27301	snx9
gene1250	serac1
gene22127	gtf2h5
gene17855	tulp4
gene4579	agt
gene8241	tmem181
gene7042	cog2
gene7081	pigh
gene23010	pdgfrl.2
gene31349	pgbd5
gene16994	galnt2
gene32058	urb2
gene542	taf5l
gene3481	capn9
gene21283	LOC100493251
gene17584	afdn
gene7903	unc93a
gene28380	LOC100487981
gene23098	cnksr3
gene8346	scaf8
gene33124	agpat4
gene4382	crim1
gene3284	gpatch11
gene21501	cebpzos
gene5868	mtrf1l
gene3924	fbxo5
gene23067	vip
gene19562	LOC100497949
gene5574	stx7
gene25309	moxd1
gene4084	ctgf
gene20653	enpp1
gene10256	Xetrov90013589m.g
gene23813	enpp3
gene31822	med23
gene26546	arg1
gene15719	Xetrov90013596m.g
gene21318	akap7
gene5940	akap7
gene33924	epb41l2
gene28737	LOC101730475
gene23448	tmem200a
gene11583	Xetrov90013601m.g
gene14200	Xetrov90013602m.g
gene18140	arhgap18
gene26243	LOC100170432
gene31382	lama2
gene33799	ptprk
gene18280	LOC108647663
gene16035	themis
gene21394	c6orf58
gene15603	Xetrov90013613m.g
gene31780	soga3
gene2655	kiaa0408
gene2732	echdc1
gene7965	rnf146
gene11258	Xetrov90013618m.g
gene28823	rspo3
gene22980	LOC101730689
gene4722	LOC100497372
gene29203	LOC105947352
gene27224	LOC101735046
gene31136	trmt11
gene5128	hint3
gene27205	LOC105947410
gene33079	ncoa7
gene9350	LOC101734929
gene18914	LOC108647596
gene31280	LOC101735278
gene15692	Xetrov90013630m.g
gene33045	trdn
gene25151	nkain2
gene30776	rnf217
gene19467	LOC100487252
gene24483	tpd52l1
gene630	hddc2
gene18847	hey2
gene18045	LOC101733142
gene4526	LOC100216123
gene2488	LOC100037903
gene32067	sult6b1
gene30209	LOC101732544
gene26072	LOC105947436
gene21930	tbc1d32
gene5585	LOC734046
gene32163	LOC100135365
gene28083	LOC108647603
gene23953	ninl
gene7347	gins1
gene4310	uqcc2
gene1755	abhd12
gene19256	pygm
gene33748	baf-l
gene27539	acss1
gene4500	vsx1
gene17350	entpd6
gene841	apmap
gene4934	cst7
gene14427	Xetrov90013659m.g
gene21586	syndig1
gene11420	Xetrov90013662m.g
gene9312	Xetrov90013663m.g
gene33321	LOC105945141
gene19059	LOC100498318
gene16627	LOC100498162
gene1970	LOC100485732
gene29220	LOC100485583
gene3741	dstn
gene19009	LOC108647664
gene33384	LOC101730793
gene5425	bcl2l11
gene23137	acoxl
gene15495	acoxl
gene904	bub1
gene15704	LOC101733484
gene11146	LOC101733484
gene22009	LOC100495031
gene106	linc00116
gene33670	nphp1
gene4218	mall
gene24370	LOC100494563
gene173	mal-like.1
gene1365	mal-like.2
gene1831	mrps5
gene25973	LOC108647665
gene21977	LOC108647624
gene5897	slc8a1
gene21985	LOC105947440
gene4933	heatr1
gene13837	Xetrov90013686m.g
gene32662	actn2
gene7674	lgals8
gene19430	LOC100491826
gene5186	LOC100216148
gene13341	Xetrov90013692m.g
gene20693	hnrnpll
gene32291	galm
gene1210	srsf7
gene3416	gemin6
gene20544	dhx57
gene33578	morn2
gene28648	arhgef33
gene3919	eif2ak2
gene19211	pkr2
gene31026	pkr3
gene4652	LOC100490646
gene20439	fbxo30
gene16401	LOC108647625
gene886	mtr
gene21774	cyp1b1
gene26938	rmdn2
gene32927	LOC100484994
gene1650	cdc42ep3
gene20216	nlrc4
gene4495	thumpd2
gene915	tmem178a
gene792	LOC101730605
gene26947	map4k3
gene18309	LOC101733950
gene32767	LOC108647666
gene26200	LOC108644462
gene26800	fez2
gene22608	LOC101735296
gene16131	c14orf169
gene30540	edaradd
gene19343	LOC101735110
gene5789	slc30a6
gene6954	rdh13
gene7346	sos1
gene2910	rgs17
gene13229	Xetrov90013728m.g
gene8616	Xetrov90013729m.g
gene4978	oprm1
gene28946	LOC105947439
gene22963	adgrg6
gene1834	vta1
gene27124	gje1
gene21579	slc22a2
gene16430	igf2r
gene15896	tcp1
gene7855	acat2
gene3090	wtap
gene6657	sod2
gene30385	fndc1
gene15819	spast
gene8156	ttll2
gene26390	desi2
gene4700	cox20
gene18366	hnrnpu
gene25022	LOC105947437
gene7655	iyd
gene17132	plekhg1
gene31197	LOC100489674
gene15649	Xetrov90013754m.g
gene2542	mthfd1l
gene23294	LOC108647605
gene24220	LOC105947321
gene5453	akap12
gene8600	Xetrov90013758m.g
gene8340	LOC100124934
gene20966	vit
gene7444	fam89a
gene22708	arv1
gene5642	ttc13
gene30618	c1orf198
gene30648	trnal-uaa
gene28589	LOC101733949
gene5208	stx11
gene18178	trnal-uaa
gene31748	trnal-uaa
gene25482	trnal-uaa
gene20497	utrn
gene10365	Xetrov90013769m.g
gene3636	epm2a
gene8780	Xetrov90013771m.g
gene31768	birc6
gene7902	LOC105947438
gene20983	LOC101733614
gene18284	LOC101733667
gene33860	LOC105947359
gene31764	ttc27
gene26510	ltbp1
gene31797	heatr5b
gene26501	rasgrp3
gene7577	fam98a
gene15334	Xetrov90013783m.g
gene17177	LOC108647667
gene10864	Xetrov90013784m.g
gene7324	LOC100488249
gene7285	qki
gene25029	LOC100485997
gene19916	c6orf118
gene30120	LOC101732714
gene26145	pde10a
gene13215	Xetrov90013792m.g
gene8438	t2
gene3114	t
gene28306	LOC101732592
gene23274	prr18
gene15108	Xetrov90013799m.g
gene20223	sft2d1
gene33729	LOC105947355
gene966	mpc1
gene34043	trim50
gene28859	rps6ka2
gene16855	cebpz
gene30155	ndufaf7
gene25072	mocs3
gene32533	qpct
gene27458	LOC108644434
gene1826	irf2bp2
gene3117	tomm20
gene25350	arid4b
gene7487	ggps1
gene20450	tbce
gene4867	b3galnt2
gene31122	gng4
gene8239	lyst
gene19050	LOC108647668
gene32382	LOC108647626
gene7367	chrm3
gene8291	fmn2
gene6260	kmo
gene2379	coa6
gene26962	LOC105947356
gene21727	tarbp1
gene12691	Xetrov90013828m.g
gene7243	ero1lb
gene5767	gpr137b
gene29844	LOC101732358
gene12946	Xetrov90013831m.g
gene8051	nid1
gene25203	rnaset2
gene8510	LOC100493055
gene33628	LOC105947426
gene28435	ccr6
gene7850	fgfr1op
gene17851	adss
gene819	zbtb18
gene2120	sdccag8
gene13362	Xetrov90013853m.g
gene3009	cep170
gene5842	map1lc3c
gene6621	fh
gene25855	slc35f3
gene22299	pcnxl2
gene7070	ntpcr
gene30255	map10
gene15822	sipa1l2
gene24980	LOC108647669
gene1388	acta1
gene6035	sprtn
gene10928	Xetrov90013865m.g
gene23639	egln1
gene12932	Xetrov90013867m.g
gene8269	tsnax
gene18029	exoc8
gene163	sf3b5
gene7793	tab2
gene18372	ppil4
gene32905	katna1
gene26923	LOC108647670
gene20417	lats1
gene28128	nup43
gene32259	slc35d3
gene19849	pex7
gene10617	LOC101732133
gene23900	LOC100496898
gene28541	bclaf1
gene30217	LOC100496743
gene17947	map7
gene21901	LOC108647606
gene17260	map3k5
gene28224	LOC105947435
gene13252	Xetrov90013894m.g
gene31622	ust
gene17093	LOC105947434
gene18121	sash1
gene4036	mrps36
gene21680	LOC100497061
gene12712	Xetrov90013902m.g
gene17544	LOC100158459
gene31509	map3k4
gene9106	Xetrov90013907m.g
gene25179	plg
gene864	LOC100496393
gene20113	il20ra
gene22697	LOC108647671
gene24071	LOC108647627
gene28358	ifngr1
gene22142	LOC105945991
gene5392	LOC105946457
gene27578	LOC105945990
gene2851	olig3
gene13012	Xetrov90013915m.g
gene14089	Xetrov90013916m.g
gene15632	LOC101734503
gene9468	Xetrov90013918m.g
gene5511	perp
gene28744	LOC101733505
gene11642	Xetrov90013922m.g
gene14260	Xetrov90013923m.g
gene10750	Xetrov90013924m.g
gene30115	LOC108647628
gene126	LOC105947422
gene12297	Xetrov90013930m.g
gene33615	nhsl1
gene28259	LOC100488210
gene8211	ccdc28a
gene20243	LOC101731596
gene32981	reps1
gene26899	LOC101731866
gene9764	Xetrov90013937m.g
gene10737	Xetrov90013939m.g
gene547	abracl
gene15057	Xetrov90013942m.g
gene19780	heca
gene10774	Xetrov90013946m.g
gene11310	LOC100495689
gene3958	txlnb
gene13846	Xetrov90013949m.g
gene23435	cited2
gene14239	Xetrov90013951m.g
gene10055	Xetrov90013951m.g
gene27415	LOC105947420
gene5074	LOC101731496
gene11032	Xetrov90013954m.g
gene31890	LOC108647672
gene17347	LOC105947419
gene21336	nmbr
gene25362	LOC105947418
gene11746	Xetrov90013957m.g
gene32668	pcmt1
gene7027	lrp11
gene22175	dynlt1
gene22763	sytl3
gene32004	ezr
gene7918	rsph3
gene9265	Xetrov90013967m.g
gene21933	tagap
gene27063	LOC100037835
gene12285	Xetrov90013969m.g
gene6941	ltv1
gene30163	phactr2
gene1659	fuca2
gene2513	pex3
gene19821	adat2
gene24693	aig1
gene20225	hivep2
gene32582	LOC100497171
gene7039	hsf2.2
gene6026	hsf2
gene6677	serinc1
gene8408	pkib
gene6117	smpdl3a
gene33701	fabp7
gene27655	clvs2
gene14175	Xetrov90013989m.g
gene6498	fam26f
gene20004	trappc3l
gene22781	LOC101731009
gene31143	fam26e
gene6295	fam26d
gene6805	arsa
gene685	rwdd1
gene29117	LOC100486282
gene32184	zufsp
gene32061	fam162b
gene19546	LOC100487890
gene23850	gprc6a
gene27787	LOC105947351
gene31655	LOC101733632
gene23590	LOC101733686
gene21019	LOC101733742
gene25281	LOC108647607
gene12498	LOC100487733
gene946	LOC101733862
gene30343	rfx6
gene1592	vgll2
gene11824	ros1
gene12379	ros1
gene33173	ros1
gene6645	dcbld1
gene18487	LOC105947414
gene22471	LOC105947413
gene4919	gopc
gene4208	nus1
gene22233	slc35f1
gene5610	LOC100493862
gene29094	cep85l
gene27896	pln
gene10421	Xetrov90014020m.g
gene1015	mcm9
gene25036	asf1a
gene7160	ankrd60
gene17451	fam184a
gene31493	LOC101731978
gene25267	man1a1
gene7083	LOC100491589
gene34071	LOC108647629
gene25548	dse
gene11353	Xetrov90014027m.g
gene14001	Xetrov90014027m.g
gene23823	col10a1
gene20875	abhd10
gene932	LOC100487057
gene2313	LOC101730688
gene23553	frk
gene27586	cfap206
gene30237	LOC105947407
gene9470	Xetrov90014037m.g
gene7249	hs3st5
gene29269	hdac2
gene445	marcks
gene8877	Xetrov90014042m.g
gene15466	Xetrov90014043m.g
gene10829	Xetrov90014043m.g
gene32877	LOC108647608
gene24484	lama4
gene1279	tube1
gene432	wisp3
gene27135	fyn
gene24277	LOC105947406
gene6815	traf3ip3
gene6281	rev3l
gene3950	kiaa1919
gene21655	slc16a10
gene6270	rpf2
gene8379	amd1
gene32365	cdk19
gene29606	slc22a16
gene24454	ddo
gene2627	mettl24
gene25972	cdc40
gene31214	wasf1
gene7778	gpr6
gene23835	fig4
gene27948	ak9
gene33002	LOC101734731
gene21954	LOC496998
gene20917	zbtb24
gene16782	ppil6
gene30353	cd164
gene28581	LOC100496491
gene28343	c6orf183
gene23239	LOC101733105
gene13710	LOC101733105
gene9099	Xetrov90014071m.g
gene31539	cep57l1
gene9597	Xetrov90014074m.g
gene12146	Xetrov90014075m.g
gene26507	LOC101734322
gene20921	LOC105947405
gene8016	sesn1
gene28903	armc2
gene23744	foxo3
gene22380	LOC108647673
gene17200	LOC101734212
